train_accuracy,train_loss,validation_accuracy,validation_loss
0.9375,0.16652101278305054,0.8125,0.38616085052490234
0.9609375,0.13255608081817627,0.8125,0.6241832971572876
0.9921875,0.03893290460109711,1.0,0.027462158352136612
1.0,0.038330934941768646,0.9375,0.19568252563476562
0.9921875,0.03775510564446449,0.9375,0.185951367020607
1.0,0.015018344856798649,0.8125,0.39729002118110657
1.0,0.006507613696157932,0.875,0.8685895204544067
1.0,0.008734476752579212,0.9375,0.3277603089809418
1.0,0.009948449209332466,1.0,0.03699922189116478
1.0,0.005770523566752672,1.0,0.037474364042282104
1.0,0.0058556511066854,0.9375,0.10030562430620193
1.0,0.0057495660148561,0.875,0.6774721145629883
1.0,0.004090483300387859,1.0,0.007674987427890301
1.0,0.0037007490172982216,0.9375,0.2696346044540405
1.0,0.00452632550150156,1.0,0.022727742791175842
1.0,0.004655233584344387,0.8125,0.8959164023399353
1.0,0.004010950215160847,0.9375,0.36633628606796265
1.0,0.0037933592684566975,1.0,0.01228485256433487
1.0,0.003572912886738777,0.875,0.7971687912940979
1.0,0.005134818609803915,0.75,0.62033611536026
